id,name,mail_address_1,mail_address_2,city,state,country,zip,phone,fitter,retailer,longitude,latitude,created_at,updated_at,place_id,website,formatted_address,google_places_name,email,duplicate_domain,source_brand,source_url,added_to_ac,sent_email
968,Ncr Eba Country Club,4435 Dogwood Trl,"Kettering, OH 45429-1239",Kettering,OH,UNITED STATES,45429-1239,937-299-3571,true,true,,,,,,http://www.ncrcountryclub.com/,"4435 Dogwood Trail, Kettering, OH 45429, USA",NCR Country Club,,,,,,
969,Southwest Golf Ranch,2880 S State Route 42,"Lebanon, OH 45036-8886",Lebanon,OH,UNITED STATES,45036-8886,513-932-3519 ,true,true,,,,,,http://www.mygolfranch.com/,"2880 South, US-42, Lebanon, OH 45036, USA",Southwest Golf Ranch & Custom Fitting,,,,,,
970,Walnut Grove Country Club Golf Shop,5050 Linden Ave,"Dayton, OH 45432-1872",Dayton,OH,UNITED STATES,45432-1872,937-253-6451,true,true,,,,,,http://www.walnutgrovecc.net/,"5050 Linden Ave, Dayton, OH 45432, USA",Walnut Grove Country Club,,,,,,
971,Forest Highlands Golf Club,2701 Len Huck,"Flagstaff, AZ 86005-4217",Flagstaff,AZ,UNITED STATES,86005-4217,928-525-9014,true,true,,,,,,http://www.fhgc.com/,"2425 William Palmer, Flagstaff, AZ 86005, USA",Forest Highlands Golf Club,,,,,,
972,Golf Galaxy Toledo ,5223 Monroe St Ste B,"Toledo, OH 43623-3139",Toledo,OH,UNITED STATES,43623-3139,419-843-5909,true,true,,,,,,https://stores.golfgalaxy.com/oh/sylvania-township/3070/?seo=localpack,"5223 Monroe St, Sylvania Township, OH 43623, USA",Golf Galaxy,,,,,,
973,Fox Hills Country Club,8768 N Territorial Rd,"Plymouth, MI 48170-5022",Plymouth,MI,UNITED STATES,48170-5022,734-453-7272,true,true,,,,,,https://www.foxhills.com/,"8768 N Territorial Rd, Plymouth, MI 48170, USA",Fox Hills Country Club,,,,,,
974,Nevada Bobs Golf,69292 Highway 21 Ste 400,"Covington, LA 70433-7238",Covington,LA,UNITED STATES,70433-7238,985-249-6860,true,true,,,,,,https://nevadabobgolf.com/,"69292 LA-21, Covington, LA 70433, USA",Nevada Bob's Golf,,,,,,
975,Beau Chene Country Club Pro Shop,9 Beau Chene Dr,"Mandeville, LA 70471",Mandeville,LA,UNITED STATES,70471,985-845-3572,true,true,,,,,,http://www.beauchenecc.com/,"602 N Beau Chene Dr, Mandeville, LA 70471, USA",Beau Chene Country Club,,,,,,
976,Meadowbrook Country Club,40941 8 Mile Rd,"Northville, MI 48167-1951",Northville,MI,UNITED STATES,48167-1951,248-349-3606,true,true,,,,,,http://www.meadowbrookcountryclub.com/,"40941 Eight Mile Rd, Northville, MI 48167, USA",Meadowbrook Country Club,,,,,,
977,Muirfield Village Golf Club,5750 Memorial Dr,"Dublin, OH 43017-9742",Dublin,OH,UNITED STATES,43017-9742,614-889-6700,true,true,,,,,,http://www.mvgc.org/,"5750 Memorial Dr, Dublin, OH 43017, USA",Muirfield Village Golf Club,,,,,,
978,Wedgewood Golf and CC,9600 Wedgewood Blvd,"Powell, OH 43065-8788",Powell,OH,UNITED STATES,43065-8788,614-793-9610,true,true,,,,,,http://wedgewoodgolfcc.com/,"9600 Wedgewood Blvd, Powell, OH 43065, USA",Wedgewood Golf & Country Club,,,,,,
979,Golftec Dublin,4353 Tuller Rd Ste E,"Dublin, OH 43017-5071",Dublin,OH,UNITED STATES,43017-5071,614-336-8044 ,true,true,,,,,,http://www.golftec.com/golf-lessons/columbus/dublin?utm_source=gmb&utm_medium=organic&utm_campaign=dublin,"4353 Tuller Rd e, Dublin, OH 43017, USA",GOLFTEC Dublin,,,,,,
980,Scioto Country Club Golf Shop,2196 Riverside Dr,"Columbus, OH 43221-4021",Columbus,OH,UNITED STATES,43221-4021,614-486-1039,true,true,,,,,,http://www.sciotocc.com/,"2196 Riverside Dr, Columbus, OH 43221, USA",Scioto Country Club,,,,,,
981,Ohio State University Golf Course,3605 Tremont Rd,"Columbus, OH 43221-1557",Columbus,OH,UNITED STATES,43221-1557,614-459-0128,true,true,,,,,,http://ohiostategolfclub.com/,"3605 Tremont Rd, Columbus, OH 43221, USA",The Ohio State University Golf Club,,,,,,
982,Dalton Golf and Country Club,333 Country Club Way,"Dalton, GA 30721-2122",Dalton,GA,UNITED STATES,30721-2122,706-259-8547 ,true,true,,,,,,http://www.daltongcc.org/,"333 Country Club Way, Dalton, GA 30721, USA",Dalton Golf & Country Club,,,,,,
983,Golf Galaxy Troy,790 E Big Beaver Rd,"Troy, MI 48083-1407",Troy,MI,UNITED STATES,48083-1407,248-616-1970,true,true,,,,,,https://stores.golfgalaxy.com/mi/troy/3215/?seo=localpack,"790 E Big Beaver Rd, Troy, MI 48083, USA",Golf Galaxy,,,,,,
984,Meadow Lark Country Club,300 Country Club Blvd,"Great Falls, MT 59404-3355",Great Falls,MT,UNITED STATES,59404-3355,406-454-3553,true,true,,,,,,http://www.meadowlarkclub.com/,"300 Country Club Blvd, Great Falls, MT 59404, USA",Meadowlark Country Club,,,,,,
985,Golftec Metairie,3213 17th St Ste 11 and 12,"Metairie, LA 70002",Metairie,LA,UNITED STATES,70002,504-208-2237 ,true,true,,,,,,https://www.golftec.com/golf-lessons/louisiana/metairie,"3213 17th St, Metairie, LA 70002, USA",Golftec,,,,,,
986,Pro Shop,450 W Schrock Rd Ste 1,"Westerville, OH 43081-8967",Westerville,OH,UNITED STATES,43081-8967,614-890-0755,true,true,,,,,,http://www.westervillegolf.com/,"450 W Schrock Rd, Westerville, OH 43081, USA",Pro-Shop The,,,,,,
987,Medallion Club,5000 Club Dr,"Westerville, OH 43082-8208",Westerville,OH,UNITED STATES,43082-8208,614-794-6988 PRO SHOP,true,true,,,,,,http://www.medallionclub.com/,"5000 Club Dr, Westerville, OH 43082, USA",Medallion Club,,,,,,
988,Ellendale Country Club,3319 Highway 311,"Houma, LA 70360-8110",Houma,LA,UNITED STATES,70360-8110,985-876-4392 ,true,true,,,,,,http://www.ellendalecc.com/,"3319 LA-311, Houma, LA 70360, USA",Ellendale Country Club,,,,,,
989,Golftec Easton,2172 Citygate Dr,"Columbus, OH 43219-3556",Columbus,OH,UNITED STATES,43219-3556,614-428-4653,true,true,,,,,,https://www.golftec.com/golf-lessons/columbus/easton,"2172 Citygate Dr, Columbus, OH 43219, USA",GOLFTEC Easton,,,,,,
990,Blackhawk Golf Club,8830 Dustin Rd,"Galena, OH 43021-9763",Galena,OH,UNITED STATES,43021-9763,740-965-5303,true,true,,,,,,http://www.golfblackhawk.com/,"8830 Dustin Rd, Galena, OH 43021, USA",Blackhawk Golf Club,,,,,,
991,Golf Fore Less Inc,160 Shorter Ave Nw,"Rome, GA 30165-2455",Rome,GA,UNITED STATES,30165-2455,706-802-0042,true,true,,,,,,http://www.golfforeless.com/,"160 Shorter Ave, Rome, GA 30165, USA",Golf Fore Less,,,,,,
992,Golf Galaxy Lakeside,15300 Hall Rd,"Clinton Township, MI 48038-1034",Clinton Township,MI,UNITED STATES,48038-1034,586-286-4987,true,true,,,,,,https://stores.golfgalaxy.com/mi/clinton-township/3204/?seo=localpack,"15300 Hall Rd, Clinton Twp, MI 48038, USA",Golf Galaxy,,,,,,
993,Country Club of Detroit,220 Country Club Dr,"Grosse Pointe Farms, MI 48236-2960",Grosse Pointe Farms,MI,UNITED STATES,48236-2960,313-881-8779 ,true,true,,,,,,http://www.ccofd.com/,"220 Country Club Dr, Grosse Pointe Farms, MI 48236, USA",Country Club of Detroit,,,,,,
994,Golftec Knoxville,7240 Kingston Pike Ste 144,"Knoxville, TN 37919-5615",Knoxville,TN,UNITED STATES,37919-5615,865-566-0505 ,true,true,,,,,,http://www.golftec.com/golf-lessons/knoxville?utm_source=gmb&utm_medium=organic&utm_campaign=knoxville,"7240 Kingston Pike #144, Knoxville, TN 37919, USA",GOLFTEC Knoxville,,,,,,
995,Nevada Bobs Golf,15244 A Crossroads Pkwy,"Gulfport, MS 39503-3564",Gulfport,MS,UNITED STATES,39503-3564,228-539-4653,true,true,,,,,,https://www.facebook.com/nevada.golfgulfport/,"15244 Crossroads Pkwy # A, Gulfport, MS 39503, USA",Nevada Bob's Golf and Tennis,,,,,,
996,Whisper Rock Golf Club Pro Shop,32002 N Old Bridge Rd,"Scottsdale, AZ 85266-1512",Scottsdale,AZ,UNITED STATES,85266-1512,480-575-8700,true,true,,,,,,http://whisperrockgolf.com/,"32002 N Old Bridge Rd, Scottsdale, AZ 85266, USA",Whisper Rock Golf Club,,,,,,
1000,Lodge at Ventana Canyon,6200 N Club House Ln,"Tucson, AZ 85750-1339",Tucson,AZ,UNITED STATES,85750-1339,520-577-1400 ,true,true,,,,,,https://www.thelodgeatventanacanyon.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,"1399, 6200 N Club House Ln, Tucson, AZ 85750, USA",Lodge At Ventana Canyon,,,,,,
1001,Montgomery Country Club,3001 Narrow Lane Rd,"Montgomery, AL 36106",Montgomery,AL,UNITED STATES,36106,334-263-9308 ,true,true,,,,,,http://www.montgomerycountryclub.com/,"3001 Narrow Lane Rd, Montgomery, AL 36106, USA",Montgomery Country Club,,,,,,
1002,Your Golf Superstore,9100 Eastchase Pky Ste C,"Montgomery, AL 36117",Montgomery,AL,UNITED STATES,36117,205-343-6789 ,true,true,,,,,,http://yourgolfsuperstore.com/,"9100 Eastchase Pkwy, Montgomery, AL 36117, USA",Your Golf Superstore,,,,,,
1004,Legacy Golf Club,6808 S 32nd St,"Phoenix, AZ 85042-6004",Phoenix,AZ,UNITED STATES,85042-6004,602-305-5550 ,true,true,,,,,,http://golflegacyresort.com/,"6808 S 32nd St, Phoenix, AZ 85042, USA",The Legacy Golf Club,,,,,,
1005,Golf Galaxy Glendale,7765 W Bell Rd,"Peoria, AZ 85382-3804",Peoria,AZ,UNITED STATES,85382-3804,623-412-9901,true,true,,,,,,https://stores.golfgalaxy.com/az/peoria/3219/?seo=localpack,"7765 W Bell Rd, Peoria, AZ 85382, USA",Golf Galaxy,,,,,,
1006,Westbrook Village Golf Club,18823 N Country Club Pkwy,"Peoria, AZ 85382-8539",Peoria,AZ,UNITED STATES,85382-8539,623-566-4548,true,true,,,,,,http://www.westbrookvillagegolf.com/,"19260 N Westbrook Pkwy, Peoria, AZ 85382, USA",Lakes Course at Westbrook Village Golf Club,,,,,,
1007,Grandview Golf Course,14260 W Meeker Blvd,"Sun City West, AZ 85375-5266",Sun City West,AZ,UNITED STATES,85375-5266,623-544-6013,true,true,,,,,,http://suncitywestgolf.com/,"14260 W Meeker Blvd, Sun City West, AZ 85375, USA",Grandview Golf Course,,,,,,
1008,Granite Falls Golf Club,15949 W Clearview Blvd,"Surprise, AZ 85374",Surprise,AZ,UNITED STATES,85374,623-546-7403,true,true,,,,,,http://www.grandinfo.com/,"15949 W Clearview Blvd, Surprise, AZ 85374, USA",Granite Falls Golf Club,,,,,,
1009,Sweetbriar Golf Club,750 Jaycox Rd,"Avon Lake, OH 44012-2223",Avon Lake,OH,UNITED STATES,44012-2223,440-933-9001,true,true,,,,,,http://www.sweetbriargolfclub.com/,"750 Jaycox Rd, Avon Lake, OH 44012, USA",Sweetbriar Golf & Pro Shop,,,,,,
1010,Atlanta National Golf Club,350 Tournament Players Dr,"Milton, GA 30004-3440",Milton,GA,UNITED STATES,30004-3440,770-442-8801 ,true,true,,,,,,http://www.clubcorp.com/Clubs/Atlanta-National-Golf-Club,"350 Tournament Players Dr, Milton, GA 30004, USA",Atlanta National Golf Club,,,,,,
1011,Avon Oaks Country Club,32300 Detroit Rd,"Avon, OH 44011-2027",Avon,OH,UNITED STATES,44011-2027,440-871-4638,true,true,,,,,,http://www.avonoakscc.com/,"32300 Detroit Rd, Avon, OH 44011, USA",Avon Oaks Country Club,,,,,,
1012,White Columns Country Club,300 Clubhouse Dr,"Milton, GA 30004-3063",Milton,GA,UNITED STATES,30004-3063,770-343-9025 ,true,true,,,,,,http://www.clubcorp.com/Clubs/White-Columns-Country-Club,"300 Clubhouse Dr, Milton, GA 30004, USA",White Columns Country Club,,,,,,
1013,Golftec Cleveland West,26669 Brookpark Road Ext,"North Olmsted, OH 44070-3137",North Olmsted,OH,UNITED STATES,44070-3137,440-348-1757 ,true,true,,,,,,http://www.golftec.com/golf-lessons/cleveland/cleveland-west?utm_source=gmb&utm_medium=organic&utm_campaign=cleveland-west,"26669 Brookpark Rd, North Olmsted, OH 44070, USA",GOLFTEC Cleveland West,,,,,,
1015,Steel Canyon Driving Range,460 Morgan Falls Rd,"Sandy Springs, GA 30350-5800",Sandy Springs,GA,UNITED STATES,30350-5800,678-591-2614,true,true,,,,,,http://www.steelcanyongolfclub.com/,"460 Morgan Falls Rd, Sandy Springs, GA 30350, USA",Steel Canyon Golf Club,,,,,,
1016,Cherokee Town and Country Club,665 Hightower Trl,"Atlanta, GA 30350-1710",Atlanta,GA,UNITED STATES,30350-1710,770-993-4401 ,true,true,,,,,,https://www.cherokeetcc.org/,"665 Hightower Trail, Atlanta, GA 30350, USA",Cherokee Town & Country Club,,,,,,
1019,Piedmont Driving Club Golf Shop,4405 Camp Creek Pkwy Sw,"Atlanta, GA 30331-7959",Atlanta,GA,UNITED STATES,30331-7959,404-346-4174,true,true,,,,,,https://www.drivingclub.org/,"4405 Camp Creek Pkwy, Atlanta, GA 30331, USA",Piedmont Driving Club,,,,,,
1020,Dunwoody Country Club Golf Shop,1600 Dunwoody Club Dr,"Atlanta, GA 30350-4437",Atlanta,GA,UNITED STATES,30350-4437,770-394-1928 ,true,true,,,,,,http://dunwoodycc.org/,"1600 Dunwoody Club Dr, Atlanta, GA 30350, USA",Dunwoody Country Club,,,,,,
1021,Chestatee Golf Club Pro Shop,777 Dogwood Way,"Dawsonville, GA 30534-5770",Dawsonville,GA,UNITED STATES,30534-5770,706-216-7336,true,true,,,,,,http://www.chestateegolfclub.com/,"777 Dogwood Way, Dawsonville, GA 30534, USA",Chestatee Golf Club,,,,,,
1022,Golftec Buckhead Station,3145 Peachtree Rd Ne Ste 133,"Atlanta, GA 30305-1800",Atlanta,GA,UNITED STATES,30305-1800,404-467-8884 ,true,true,,,,,,http://www.golftec.com/golf-lessons/atlanta/buckhead?utm_source=gmb&utm_medium=organic&utm_campaign=buckhead,"3145 Peachtree Rd NE #133, Atlanta, GA 30305, USA",GOLFTEC Buckhead,,,,,,
1023,Canongate I Golf Club Pro Shop,924 Shaw Rd,"Sharpsburg, GA 30277-1617",Sharpsburg,GA,UNITED STATES,30277-1617,770-463-3342,true,true,,,,,,http://www.clubcorp.com/Clubs/White-Oak-Canongate,"924 Shaw Rd, Sharpsburg, GA 30277, USA",Canongate 1 Golf Club,,,,,,
1024,Country Club of The South,4100 Old Alabama Rd,"Johns Creek, GA 30022-8615",Johns Creek,GA,UNITED STATES,30022-8615,770-475-6779 ,true,true,,,,,,http://www.clubcorp.com/Clubs/Country-Club-of-the-South/,"4100 Old Alabama Rd, Johns Creek, GA 30022, USA",The Country Club of the South,,,,,,
1025,Pine Hills Golf Club Inc,433 W 130th St,"Hinckley, OH 44233-9566",Hinckley,OH,UNITED STATES,44233-9566,330-225-4477,true,true,,,,,,https://www.golfpinehills.net/,"433 W 130th St, Hinckley, OH 44233, USA",Pine Hills Golf Club,,,,,,
1027,St Ives Country Club Pro Shop,1 Saint Ives Country Club Dr,"Duluth, GA 30097-5926",Duluth,GA,UNITED STATES,30097-5926,770-497-9432,true,true,,,,,,http://www.stivescountryclub.org/,"1 St Ives Country Club Dr, Johns Creek, GA 30097, USA",St Ives Country Club,,,,,,
1028,Atlanta Athletic Club Pro Shop,1930 Bobby Jones Dr,"Johns Creek, GA 30097-2402",Johns Creek,GA,UNITED STATES,30097-2402,770-448-8552,true,true,,,,,,http://www.atlantaathleticclub.org/,"1930 Bobby Jones Dr, Johns Creek, GA 30097, USA",Atlanta Athletic Club,,,,,,
1029,Druid Hills Golf Club,740 Clifton Rd Ne,"Atlanta, GA 30307-1222",Atlanta,GA,UNITED STATES,30307-1222,404-377-1766 ,true,true,,,,,,http://www.dhgc.org/,"740 Clifton Rd, Atlanta, GA 30307, USA",Druid Hills Golf Club,,,,,,
1030,Rodger Hogan Golf Shop,301 Tommy Aaron Dr,"Gainesville, GA 30506-1509",Gainesville,GA,UNITED STATES,30506-1509,770-532-0066 ,true,true,,,,,,http://www.gainesville.org/golf-course,"301 Tommy Aaron Dr, Gainesville, GA 30506, USA",Chattahoochee Golf Club,,,,,,
1031,Golf Galaxy Akron,4118 Medina Rd,"Akron, OH 44333-2452",Akron,OH,UNITED STATES,44333-2452,330-670-1133,true,true,,,,,,https://stores.golfgalaxy.com/oh/akron/3028/?seo=localpack,"4118 Medina Rd, Akron, OH 44333, USA",Golf Galaxy,,,,,,
1032,Golftec Fairlawn,2965 W Market St Ste N,"Fairlawn, OH 44333-3632",Fairlawn,OH,UNITED STATES,44333-3632,440-263-7556,true,true,,,,,,https://www.golftec.com/golf-lessons/canton/fairlawn?utm_source=gmb&utm_medium=organic&utm_campaign=fairlawn,"2965 W Market St N, Fairlawn, OH 44333, USA",GOLFTEC Fairlawn,,,,,,
1033,Golftec Cleveland East,24195 Chagrin Blvd,"Beachwood, OH 44122-5514",Beachwood,OH,UNITED STATES,44122-5514,216-454-0074 ,true,true,,,,,,http://www.golftec.com/golf-lessons/cleveland/cleveland-east?utm_source=gmb&utm_medium=organic&utm_campaign=cleveland-east,"24195 Chagrin Blvd, Beachwood, OH 44122, USA",GOLFTEC Cleveland East,,,,,,
1034,Shady Hollow Country Club Pro Shop,4865 Wales Ave Nw,"Massillon, OH 44646-9394",Massillon,OH,UNITED STATES,44646-9394,330-832-1804,true,true,,,,,,http://www.shadyhollowcc.com/,"4865 Wales Ave NW, Massillon, OH 44646, USA",Shady Hollow Country Club,,,,,,
1035,Lake View Golf Course Pro Shop,428 E Maple St,"Hartville, OH 44632-8806",Hartville,OH,UNITED STATES,44632-8806,330-877-2390,true,true,,,,,,http://clubcorp.com/clubs/firestone-country-club/,"Akron, OH 44319, USA",Firestone Golf Course,,,,,,
1036,Athens Country Club Pro Shop,2700 Jefferson Rd,"Athens, GA 30607-1209",Athens,GA,UNITED STATES,30607-1209,706-354-7111,true,true,,,,,,http://www.athenscountryclub.com/,"2700 Jefferson Rd, Athens, GA 30607, USA",Athens Country Club,,,,,,
1039,Golf Galaxy Las Vegas ,8621 W Charleston Blvd Ste 110,"Las Vegas, NV 89117-5494",Las Vegas,NV,UNITED STATES,89117-5494,702-932-4110,true,true,,,,,,https://stores.golfgalaxy.com/nv/las-vegas/3067/?seo=localpack,"8621 W Charleston Blvd, Las Vegas, NV 89117, USA",Golf Galaxy,,,,,,
1040,Hillcrest Country Club Golf Shop,4610 W Hillcrest Dr,"Boise, ID 83705-2859",Boise,ID,UNITED STATES,83705-2859,208-343-1769,true,true,,,,,,http://hillcrest.cc/,"4610 W Hillcrest Dr, Boise, ID 83705, USA",Hillcrest Country Club Inc,,,,,,
1041,Golf+,2571 Montgomery Hwy,"Dothan, AL 36303",Dothan,AL,UNITED STATES,36303,334-671-1880 ,true,true,,,,,,https://www.golfplusdothan.com/,"2571 Montgomery Hwy, Dothan, AL 36303, USA",Golf+,,,,,,
1042,Pierce Park Greens,5812 N Pierce Park Ln,"Boise, ID 83714-7908",Boise,ID,UNITED STATES,83714-7908,208-853-3302,true,true,,,,,,http://pierceparkgreens.com/,"5812 N Pierce Park Ln, Boise, ID 83714, USA",Pierce Park Greens,,,,,,
1043,Golf Galaxy Boise ,8573 W Franklin Rd,"Boise, ID 83709-0630",Boise,ID,UNITED STATES,83709-0630,208-472-1235,true,true,,,,,,https://stores.golfgalaxy.com/id/boise/3081/?seo=localpack,"8573 W Franklin Rd, Boise, ID 83709, USA",Golf Galaxy,,,,,,
1044,Tam O'shanter Golf Course Pro Shop,2961 S Hermitage Rd,"Hermitage, PA 16148-7087",Hermitage,PA,UNITED STATES,16148-7087,724-981-3552,true,true,,,,,,http://tamoshanterpa.com/,"2961 S Hermitage Rd, Hermitage, PA 16148, USA",Tam O'Shanter Golf Course,,,,,,
1045,Golf Galaxy Greenville,1025 Woodruff Rd Ste F103,"Greenville, SC 29607-4189",Greenville,SC,UNITED STATES,29607-4189,864-297-0194,true,true,,,,,,https://stores.golfgalaxy.com/sc/greenville/3208/?seo=localpack,"1025 Woodruff Rd, Greenville, SC 29607, USA",Golf Galaxy,,,,,,
1046,Golf Galaxy North Charlotte,7226 Smith Corners Blvd,"Charlotte, PA 28269",Charlotte,PA,UNITED STATES,28269,704-973-4160,true,true,,,,,,https://stores.golfgalaxy.com/nc/charlotte/3075/?seo=localpack,"7226 Smith Corners Blvd, Charlotte, NC 28269, USA",Golf Galaxy,,,,,,
1047,Valley Brook Country Club,425 Hidden Valley Rd,"Canonsburg, PA 15317-2698",Canonsburg,PA,UNITED STATES,15317-2698,724-746-9000,true,true,,,,,,http://www.valleybrookcc.com/,"425 Hidden Valley Rd, Canonsburg, PA 15317, USA",Valley Brook Country Club,,,,,,
1048,84 Golf Center,16 Golf Center Dr,"Eighty Four, PA 15330-2159",Eighty Four,PA,UNITED STATES,15330-2159,724-229-4002 ,true,true,,,,,,https://84golfcenter.business.site/,"16 Golf Center Dr, Eighty Four, PA 15330, USA",84 Golf Center,,,,,,
1049,Erie Sport Store Warehouse,1703 Ash St,"Erie, PA 16503-2116",Erie,PA,UNITED STATES,16503-2116,814-866-0200,true,true,,,,,,https://stores.dickssportinggoods.com/pa/erie/30/?seo=localpack,"2088 Interchange Rd, Erie, PA 16565, USA",DICK'S Sporting Goods,,,,,,
1050,Golftec Wexford,"16055 Perry Hwy Bldg 2, Ste B","Wexford, PA 15090-6885",Wexford,PA,UNITED STATES,15090-6885,724-933-3434 ,true,true,,,,,,http://www.golftec.com/golf-lessons/pittsburgh/wexford?utm_source=gmb&utm_medium=organic&utm_campaign=wexford,"16055 Perry Hwy, Wexford, PA 15090, USA",GOLFTEC Wexford,,,,,,
1051,Aa Pro Golf,114 North Rd,"Butler, PA 16001-8334",Butler,PA,UNITED STATES,16001-8334,724-283-5898,true,true,,,,,,https://allaboutgolfpa.com/,"114 North Rd, Butler, PA 16001, USA",AA Pro Golf,,,,,,
1052,Lake Hickory Country Club,3820 Wandering Ln Ne,"Hickory, NC 28601-8766",Hickory,NC,UNITED STATES,28601-8766,828-256-2171,true,true,,,,,,http://www.lakehickorycc.com/,"3820 Wandering Ln, Hickory, NC 28601, USA",Lake Hickory Country Club,,,,,,
1054,Oakmont Country Club,1233 Hulton Rd,"Oakmont, PA 15139-1135",Oakmont,PA,UNITED STATES,15139-1135,412-828-4653 ,true,true,,,,,,http://www.oakmont-countryclub.org/,"1233 Hulton Rd, Oakmont, PA 15139, USA",Oakmont Country Club,,,,,,
1056,Mid Carolina Club Pro Shop,3593 Kibler Bridge Rd,"Prosperity, SC 29127-8656",Prosperity,SC,UNITED STATES,29127-8656,803-364-3193,true,true,,,,,,https://www.midcarolinaclubsc.com/,"3593 State Rd S-36-164, Prosperity, SC 29127, USA",Mid Carolina Club Inc,,,,,,
1057,Leatherman Golf Learning Center,5845 S Tryon St,"Charlotte, NC 28217-2501",Charlotte,NC,UNITED STATES,28217-2501,704-527-1123 ,true,true,,,,,,http://www.leathermangolf.com/,"5845 S Tryon St, Charlotte, NC 28217, USA",Leatherman Golf Learning Center,,,,,,
1058,Desert Hills Golf Course,1245 W Desert Hills Dr,"Yuma, AZ 85365-3906",Yuma,AZ,UNITED STATES,85365-3906,928-373-5220,true,true,,,,,,http://www.cityofyumagolf.com/,"1245 W Desert Hills Dr, Yuma, AZ 85365, USA",Desert Hills Golf Course,,,,,,
1060,Golf Shop,2415 Roswell Ave,"Charlotte, NC 28209-1647",Charlotte,NC,UNITED STATES,28209-1647,704-376-0745,true,true,,,,,,http://www.clubchampiongolf.com/,"4724 Sharon Road Suite 2J SHARON CORNERS SHOPPING CENTER, Charlotte, NC 28210, USA",Club Champion,,,,,,
1061,Quail Hollow Club,3700 Gleneagles Rd,"Charlotte, NC 28210-4937",Charlotte,NC,UNITED STATES,28210-4937,704-552-1726,true,true,,,,,,http://www.quailhollowclub.com/,"3700 Gleneagles Rd, Charlotte, NC 28210, USA",Quail Hollow Club,,,,,,
1062,Golf Galaxy Winston Salem ,144 Stratford Commons Ct Ste B,"Winston Salem, NC 27103-5530",Winston Salem,NC,UNITED STATES,27103-5530,336-760-8455,true,true,,,,,,https://stores.golfgalaxy.com/nc/winston-salem/3072/?seo=localpack,"144 Stratford Commons Ct, Winston-Salem, NC 27103, USA",Golf Galaxy,,,,,,
1063,Golf Galaxy - Buffalo,1581 Niagara Falls Blvd # 500,"Amherst, NY 14228-2704",Amherst,NY,UNITED STATES,14228-2704,716-834-1789,true,true,,,,,,https://stores.golfgalaxy.com/ny/amherst/3043/?seo=localpack,"1581 Niagara Falls Blvd, Amherst, NY 14228, USA",Golf Galaxy,,,,,,
1064,Golf Galaxy Greensboro,4217 W Wendover Ave,"Greensboro, NC 27407-1925",Greensboro,NC,UNITED STATES,27407-1925,336-218-8159,true,true,,,,,,https://stores.golfgalaxy.com/nc/greensboro/3210/?seo=localpack,"4217 W Wendover Ave Ste F, Greensboro, NC 27407, USA",Golf Galaxy,,,,,,
1065,Mulligans Golf Center,141 Carpenter Ln,"Rockingham, VA 22801-9777",Rockingham,VA,UNITED STATES,22801-9777,540-432-9040,true,true,,,,,,http://www.mulligans-golf.com/,"141 Carpenter Ln, Harrisonburg, VA 22801, USA",Mulligan's Golf Center,,,,,,
1066,Ricks Golf World,228 N Union St,"Olean, NY 14760-2662",Olean,NY,UNITED STATES,14760-2662,716-373-6400,true,true,,,,,,http://www.ricksgolfworld.com/,"228 N Union St, Olean, NY 14760, USA",Rick's Golf World,,,,,,
1067,Prairie Falls,3200 N Spokane St,"Post Falls, ID 83854-6628",Post Falls,ID,UNITED STATES,83854-6628,208-457-0210,true,true,,,,,,http://www.pfgolf.com/,"3200 N Spokane St, Post Falls, ID 83854, USA",Prairie Falls Golf Club,,,,,,
1068,Country Club of The Desert,80440 Hideaway Club Ct,"La Quinta, CA 92253-7867",La Quinta,CA,UNITED STATES,92253-7867,760-777-7400,true,true,,,,,,http://hideawaygolfclub.com/,"80440 Hideaway Club Dr, La Quinta, CA 92253, USA",Hideaway,,,,,,
1069,Desert Willow Golf Course,38995 Desert Willow Dr,"Palm Desert, CA 92260-1674",Palm Desert,CA,UNITED STATES,92260-1674,760-346-0015,true,true,,,,,,http://www.desertwillow.com/,"38-995 Desert Willow Dr, Palm Desert, CA 92260, USA",Desert Willow Golf Resort,,,,,,
1070,Alamance Country Club,2402 Pineway Dr,"Burlington, NC 27215-4581",Burlington,NC,UNITED STATES,27215-4581,336-584-1326,true,true,,,,,,http://www.alamancecountryclub.com/,"2402 Pineway Dr, Burlington, NC 27215, USA",Alamance Country Club,,,,,,
1071,Randys Golf Center and Range Inc,2515 Cherry Lane,"Haw River, NC 27258",Haw River,NC,UNITED STATES,27258,336-570-3996,true,true,,,,,,http://www.randysgolfcenterandrange.com/,"2515 Cherry Ln, Haw River, NC 27258, USA",Randy's Golf Center and Range,,,,,,
1073,Pinehurst Country Club Golf Shop,100 Beulah Hill Rd S,"Pinehurst, NC 28374",Pinehurst,NC,UNITED STATES,28374,910-235-8148 ,true,true,,,,,,http://www.pinehurst.com/golf/,"1 Carolina Vista Dr, Pinehurst, NC 28374, USA",Pinehurst No. 2,,,,,,
1074,Chambersburg Country Club,3646 Scotland Rd,"Chambersburg, PA 17202-7425",Chambersburg,PA,UNITED STATES,17202-7425,717-263-8296 ,true,true,,,,,,http://www.chambersburgcountryclub.org/,"3646 Scotland Rd, Chambersburg, PA 17202, USA",Chambersburg Country Club,,,,,,
